id_vertice ,data_hora            ,vento
       163 ,1980-12-01T00:00:00Z ,6.43372914732271
       183 ,1979-01-01T00:00:00Z ,7.75573396016364
       183 ,1979-02-01T00:00:00Z ,8.71642140763503
       183 ,1979-03-01T00:00:00Z ,8.31617967943744
       183 ,1979-04-01T00:00:00Z ,7.45318102489195
       183 ,1979-05-01T00:00:00Z ,6.11775066369514
       183 ,1979-06-01T00:00:00Z ,4.78327493762422
       183 ,1979-07-01T00:00:00Z ,4.95527150722967
       183 ,1979-08-01T00:00:00Z ,5.09129613004519
       183 ,1979-09-01T00:00:00Z ,5.70306185017221
       183 ,1979-10-01T00:00:00Z ,5.27525048879626
       183 ,1979-11-01T00:00:00Z ,6.21444301891707
       183 ,1979-12-01T00:00:00Z ,7.4123065396911
       183 ,1980-01-01T00:00:00Z ,8.69848343741959
       183 ,1980-02-01T00:00:00Z ,9.73035606441869
       183 ,1980-03-01T00:00:00Z ,8.83153145176936
       183 ,1980-04-01T00:00:00Z ,7.55675925567954
       183 ,1980-05-01T00:00:00Z ,6.89810533604002
       183 ,1980-06-01T00:00:00Z ,5.45872215905224
       183 ,1980-07-01T00:00:00Z ,4.74990896442365
       183 ,1980-08-01T00:00:00Z ,5.88465896896269
       183 ,1980-09-01T00:00:00Z ,5.5319534570393
       183 ,1980-10-01T00:00:00Z ,5.95032110239338
       183 ,1980-11-01T00:00:00Z ,6.21245851996027
       183 ,1980-12-01T00:00:00Z ,6.259911793398
       203 ,1979-01-01T00:00:00Z ,7.5142371935407
       203 ,1979-02-01T00:00:00Z ,8.52517930670759
       203 ,1979-03-01T00:00:00Z ,8.19201500328763
       203 ,1979-04-01T00:00:00Z ,7.30230672986856
       203 ,1979-05-01T00:00:00Z ,5.89122718185367
       203 ,1979-06-01T00:00:00Z ,4.59160762112749
       203 ,1979-07-01T00:00:00Z ,4.83933644628381
       203 ,1979-08-01T00:00:00Z ,5.04136737841993
       203 ,1979-09-01T00:00:00Z ,5.42937219645797
       203 ,1979-10-01T00:00:00Z ,5.0493202695533
       203 ,1979-11-01T00:00:00Z ,6.29979434258993
       203 ,1979-12-01T00:00:00Z ,7.06020026794478
       203 ,1980-01-01T00:00:00Z ,8.48808922851077
       203 ,1980-02-01T00:00:00Z ,9.7122055444981
       203 ,1980-03-01T00:00:00Z ,8.74463561200855
       203 ,1980-04-01T00:00:00Z ,7.16854704441276
       203 ,1980-05-01T00:00:00Z ,6.01180363086273
       203 ,1980-06-01T00:00:00Z ,4.73139648879154
       203 ,1980-07-01T00:00:00Z ,4.33389638284658
       203 ,1980-08-01T00:00:00Z ,5.90140787211379
       203 ,1980-09-01T00:00:00Z ,5.67981364880734
       203 ,1980-10-01T00:00:00Z ,5.45435820085521
       203 ,1980-11-01T00:00:00Z ,5.64957636943107
       203 ,1980-12-01T00:00:00Z ,6.19665336610694
       325 ,1979-01-01T00:00:00Z ,6.99220172099312
       325 ,1979-02-01T00:00:00Z ,8.03943401983593
       325 ,1979-03-01T00:00:00Z ,7.3260953820539
       325 ,1979-04-01T00:00:00Z ,6.68942547380017
       325 ,1979-05-01T00:00:00Z ,5.49480951659943
       325 ,1979-06-01T00:00:00Z ,4.74068468896049
       325 ,1979-07-01T00:00:00Z ,5.14201708966787
       325 ,1979-08-01T00:00:00Z ,5.02929392903966
       325 ,1979-09-01T00:00:00Z ,5.37936076652744
       325 ,1979-10-01T00:00:00Z ,5.06590391989043
       325 ,1979-11-01T00:00:00Z ,5.97156509049776
       325 ,1979-12-01T00:00:00Z ,6.78387613476902
