data_hora_previsao,dia_previsao,vento,id_usina,id_modelo
2021-01-01T00:00:00Z,1,2.41,14,2
2021-01-01T00:30:00Z,1,2.71,14,2
2021-01-01T01:00:00Z,1,3.01,14,2
2021-01-01T01:30:00Z,1,3.31,14,2
2021-01-01T02:00:00Z,1,3.61,14,2
2021-01-01T02:30:00Z,1,3.91,14,2
2021-01-01T03:00:00Z,1,4.21,14,2
2021-01-01T03:30:00Z,1,4.015,14,2
2021-01-01T04:00:00Z,1,3.82,14,2
2021-01-01T04:30:00Z,1,3.62,14,2
2021-01-01T05:00:00Z,1,3.42,14,2
2021-01-01T05:30:00Z,1,3.225,14,2
2021-01-01T06:00:00Z,1,3.03,14,2
2021-01-01T06:30:00Z,1,3.17,14,2
2021-01-01T07:00:00Z,1,3.31,14,2
2021-01-01T07:30:00Z,1,3.455,14,2
2021-01-01T08:00:00Z,1,3.6,14,2
2021-01-01T08:30:00Z,1,3.74,14,2
2021-01-01T09:00:00Z,1,3.88,14,2
2021-01-01T09:30:00Z,1,4.06,14,2
2021-01-01T10:00:00Z,1,4.24,14,2
2021-01-01T10:30:00Z,1,4.415,14,2
2021-01-01T11:00:00Z,1,4.59,14,2
2021-01-01T11:30:00Z,1,4.77,14,2
2021-01-01T12:00:00Z,1,4.95,14,2
2021-01-01T00:00:00Z,2,3.26,14,2
2021-01-01T00:30:00Z,2,3.44,14,2
2021-01-01T01:00:00Z,2,3.62,14,2
2021-01-01T01:30:00Z,2,3.795,14,2
2021-01-01T02:00:00Z,2,3.97,14,2
2021-01-01T02:30:00Z,2,4.15,14,2
2021-01-01T03:00:00Z,2,4.33,14,2
2021-01-01T03:30:00Z,2,4.465,14,2
2021-01-01T04:00:00Z,2,4.6,14,2
2021-01-01T04:30:00Z,2,4.735,14,2
2021-01-01T05:00:00Z,2,4.87,14,2
2021-01-01T05:30:00Z,2,5.005,14,2
2021-01-01T06:00:00Z,2,5.14,14,2
2021-01-01T06:30:00Z,2,5.19,14,2
2021-01-01T07:00:00Z,2,5.24,14,2
2021-01-01T07:30:00Z,2,5.29,14,2
2021-01-01T08:00:00Z,2,5.34,14,2
2021-01-01T08:30:00Z,2,5.39,14,2
2021-01-01T09:00:00Z,2,5.44,14,2
2021-01-01T09:30:00Z,2,5.5,14,2
2021-01-01T10:00:00Z,2,5.56,14,2
2021-01-01T10:30:00Z,2,5.62,14,2
2021-01-01T11:00:00Z,2,5.68,14,2
2021-01-01T11:30:00Z,2,5.74,14,2
2021-01-01T12:00:00Z,2,5.8,14,2
