data_hora_previsao,dia_previsao,vento,id_usina,id_modelo
2021-01-01T00:00:00Z,1,7.24,10,2
2021-01-01T00:30:00Z,1,7.14,10,2
2021-01-01T01:00:00Z,1,7.04,10,2
2021-01-01T01:30:00Z,1,6.945,10,2
2021-01-01T02:00:00Z,1,6.85,10,2
2021-01-01T02:30:00Z,1,6.75,10,2
2021-01-01T03:00:00Z,1,6.65,10,2
2021-01-01T03:30:00Z,1,6.96,10,2
2021-01-01T04:00:00Z,1,7.27,10,2
2021-01-01T04:30:00Z,1,7.575,10,2
2021-01-01T05:00:00Z,1,7.88,10,2
2021-01-01T05:30:00Z,1,8.19,10,2
2021-01-01T06:00:00Z,1,8.5,10,2
2021-01-01T06:30:00Z,1,8.055,10,2
2021-01-01T07:00:00Z,1,7.61,10,2
2021-01-01T07:30:00Z,1,7.165,10,2
2021-01-01T08:00:00Z,1,6.72,10,2
2021-01-01T08:30:00Z,1,6.275,10,2
2021-01-01T09:00:00Z,1,5.83,10,2
2021-01-01T09:30:00Z,1,6.09,10,2
2021-01-01T10:00:00Z,1,6.35,10,2
2021-01-01T10:30:00Z,1,6.615,10,2
2021-01-01T11:00:00Z,1,6.88,10,2
2021-01-01T11:30:00Z,1,7.14,10,2
2021-01-01T12:00:00Z,1,7.4,10,2
2021-01-01T00:00:00Z,2,6.91,10,2
2021-01-01T00:30:00Z,2,6.99,10,2
2021-01-01T01:00:00Z,2,7.07,10,2
2021-01-01T01:30:00Z,2,7.145,10,2
2021-01-01T02:00:00Z,2,7.22,10,2
2021-01-01T02:30:00Z,2,7.3,10,2
2021-01-01T03:00:00Z,2,7.38,10,2
2021-01-01T03:30:00Z,2,7.41,10,2
2021-01-01T04:00:00Z,2,7.44,10,2
2021-01-01T04:30:00Z,2,7.465,10,2
2021-01-01T05:00:00Z,2,7.49,10,2
2021-01-01T05:30:00Z,2,7.52,10,2
2021-01-01T06:00:00Z,2,7.55,10,2
2021-01-01T06:30:00Z,2,7.265,10,2
2021-01-01T07:00:00Z,2,6.98,10,2
2021-01-01T07:30:00Z,2,6.695,10,2
2021-01-01T08:00:00Z,2,6.41,10,2
2021-01-01T08:30:00Z,2,6.125,10,2
2021-01-01T09:00:00Z,2,5.84,10,2
2021-01-01T09:30:00Z,2,6.085,10,2
2021-01-01T10:00:00Z,2,6.33,10,2
2021-01-01T10:30:00Z,2,6.575,10,2
2021-01-01T11:00:00Z,2,6.82,10,2
2021-01-01T11:30:00Z,2,7.065,10,2
2021-01-01T12:00:00Z,2,7.31,10,2
